name,followers,popularity,spotify_url
Phi Thoàn,0,0,https://open.spotify.com/artist/2aTU3x15AENbhoOw6Guz4V
D Blue,50154,43,https://open.spotify.com/artist/7JRDlOAUMJuLKmapm6H2VG
Tridang,2,0,https://open.spotify.com/artist/7ooiucbWXydMWYFas8CfeK
Redshine,128,4,https://open.spotify.com/artist/6V2hxt1eky76f5uVIdGjVF
Uyên Trang,19887,13,https://open.spotify.com/artist/5ZTYPfGq5HTtBjsnyqJa3I
Giang Tử,6600,24,https://open.spotify.com/artist/2tvLovBlbaYyzUFeBgXRFW
ウッ・バッ・ラン,0,0,https://open.spotify.com/artist/1TiyIGdIu0d5EHlL56CAtX
Hoang Dat,18,0,https://open.spotify.com/artist/5XbUh9GiygSptyIBwJavNl
Hồ Hoàng Yến,9939,25,https://open.spotify.com/artist/7BexWHooxEtDlI69lknj8E
H2O Remix,90967,47,https://open.spotify.com/artist/5sK9cYMRqNOdY9Og2DKAgs
B Ray,997595,59,https://open.spotify.com/artist/1WvNgEoB66jmHodcj15Zi9
K-ICM,91689,45,https://open.spotify.com/artist/6mD6SQbvl9pILx7SAHBzbq
Thanh Tuyền,41210,29,https://open.spotify.com/artist/6nZLN4BFDgyIVX2xAUruED
NSUT Ngọc Giàu,0,0,https://open.spotify.com/artist/75xURm9qVgcoaIE9KV8Yn1
Hải Băng,5785,16,https://open.spotify.com/artist/4OXdfR1Hk5HzOyLWcEm87J
Miu Lê,443312,47,https://open.spotify.com/artist/4e5LAUvM35jleGg8gElTsP
Bạch Huệ,0,0,https://open.spotify.com/artist/2LQJPWPX8f81QGrqEqHhK0
Quang Hùng Master D,9031,21,https://open.spotify.com/artist/6TmQWGwUnVqkPptZt0apmq
Hứa Kim Tuyền,149702,52,https://open.spotify.com/artist/3Ufoo4BPShhahtCSjgpBLP
Hồng Ngọc,6754,27,https://open.spotify.com/artist/0gbeh1a6jor3A3vyJFVJxm
Trương Thế Vinh,17890,42,https://open.spotify.com/artist/2Dqd1HqXNuDhsdR7BGT590
Túy Hoa,1,0,https://open.spotify.com/artist/4b9KDM9tJKAfrTrdV4GASG
meocamtu,42,27,https://open.spotify.com/artist/2ZOv6optO6lhTbOYMH009e
Tâm Đoan,25442,28,https://open.spotify.com/artist/009DchB833vqAeN8v5zE4O
Anh Khang,45488,35,https://open.spotify.com/artist/5kZm4Xqiu4GIhbm912n4fW
Jimmi Nguyen,30470,34,https://open.spotify.com/artist/62sxxIG77fFOZKQkKDF0wt
Nmòng Nmọc,501,0,https://open.spotify.com/artist/6MrAdFD6BJV3JwatAYxU6V
MFREE,1557,35,https://open.spotify.com/artist/3Gx0fp4mXr6YU4DONMHqB8
DanhKa,5242,21,https://open.spotify.com/artist/4Xev3lOT3J5LZ3zQaK8sAz
Phạm Nguyên Ngọc,114039,44,https://open.spotify.com/artist/2Xlia1jlI7JDki4Xa42uyK
Nam Ngo,28,15,https://open.spotify.com/artist/5rEpvWrgw0tvax27frKVlH
