name,release_date,album_type,album_name,artists,duration_ms,popularity,spotify_url
Chúng Ta Của Hiện Tại,2020-12-20,single,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,301538,0,https://open.spotify.com/track/17iGUekw5nFt5mIRJcUm3R
Đi Về Nhà,2020-12-20,single,Đi Về Nhà,"Đen, JustaTee",200000,58,https://open.spotify.com/track/7LVrrX8pkzI9fMF88nGabt
Sinh Ra Đã Là Thứ Đối Lập Nhau,2018-03-01,single,Sinh Ra Đã Là Thứ Đối Lập Nhau,Emcee L (Da LAB),234168,0,https://open.spotify.com/track/6IAqflHsPVm4EpYghXauX7
Bước Qua Mùa Cô Đơn,2020-12-10,single,Bước Qua Mùa Cô Đơn,Vũ.,278823,43,https://open.spotify.com/track/7wkX67ruxr3x2GFz6vyIX9
Nàng Thơ,2018-03-01,single,Nàng Thơ,Hoàng Dũng,254476,0,https://open.spotify.com/track/2LykruN1mQlg9nuUaE7dvQ
Đom Đóm,2020-12-26,single,Đom Đóm,Jack - J97,324949,0,https://open.spotify.com/track/5Ojsg9xR0wlTpDIW1qLYz2
Trên Tình Bạn Dưới Tình Yêu,2020-11-06,single,Trên Tình Bạn Dưới Tình Yêu,MIN,199266,16,https://open.spotify.com/track/5zH2inEP6THOY8tomr3DdZ
Gặp Nhưng Không Ở Lại,2020-11-26,single,Gặp Nhưng Không Ở Lại,"Hiền Hồ, Vương Anh Tú",276777,0,https://open.spotify.com/track/3pyHABNUu0QxeyH1x8p7yf
BLACKJACK,2020-11-30,single,BLACKJACK,"SOOBIN, Binz",196742,0,https://open.spotify.com/track/05RlEsnD2yUygC5Ukjy7RW
từ thích thích thành thương thương,2020-12-07,single,dreAMEE (acoustic),"AMEE, Hoàng Dũng",204230,0,https://open.spotify.com/track/56JyO6Cav1GwtayPU7PXEx
Lo Xa,2020-12-18,single,Lo Xa,Tiên Tiên,167148,0,https://open.spotify.com/track/3Mj39aPp9Ts9utchsXZcjZ
Tháng Năm,2020-12-15,single,The Playah,SOOBIN,225358,53,https://open.spotify.com/track/0SmQ0UWeiHKQtxUej4Rem6
Gác Lại Âu Lo,2018-03-01,single,Gác Lại Âu Lo,Da LAB,282628,0,https://open.spotify.com/track/6HpDKKSDZ8QpSHfikENIBC
Giá Như,2020-12-25,single,Giá Như,Chillies,297000,25,https://open.spotify.com/track/42mIT9wfmgA48DTN8GmCxX
CILU,2018-03-01,single,CILU,JGKiD (Da LAB),194181,0,https://open.spotify.com/track/0167mYf0UIa3qBqy4NZgt5
Tình Yêu Xanh Lá (juju),2018-03-01,single,gop,Thịnh Suy,179000,0,https://open.spotify.com/track/2QIRuHGVTmp9HL2u4irHMt
Lời Đường Mật,2018-03-01,single,Lời Đường Mật,Lyly,222250,0,https://open.spotify.com/track/4yAJOZ8ZBAKfXCI20hsVjf
Trò Chơi,2020-11-21,single,Trò Chơi,SOOBIN,196271,0,https://open.spotify.com/track/4uky9M3nN9ymXPm8KmJDvb
Yêu Một Người Sao Buồn Đến Thế,2018-03-01,single,Yêu Một Người Sao Buồn Đến Thế,Noo Phước Thịnh,299028,0,https://open.spotify.com/track/5L6UkGeVNHy7CurA8aVhpy
Qua Khung Cửa Sổ,2020-11-11,single,Qua Khung Cửa Sổ,Chillies,299090,32,https://open.spotify.com/track/6jOP08e9PHDnoF3reZcePE
Bigcityboi (feat. Touliver),2020-07-05,single,Big City Boi (feat. Touliver),"Binz, Touliver",201599,37,https://open.spotify.com/track/3sV8ExJeOGXbanczafavZv
Chuyện Rằng,2018-03-01,single,Chuyện Rằng,Thịnh Suy,272152,0,https://open.spotify.com/track/3VOeGtJwJh2jslvQAFaaEn
Missing You,2020-08-19,single,Missing You,"Phương Ly, TINLE",242857,0,https://open.spotify.com/track/1AAGvzJRWMTKx7PNfeTvP4
Mascara,2019-12-06,single,Mascara,Chillies,293157,43,https://open.spotify.com/track/2Jaaw8PrdUfPlU6o6tL5dl
Buồn Thì Cứ Khóc Đi,2019-12-13,single,Buồn Thì Cứ Khóc Đi,Lynk Lee,222314,54,https://open.spotify.com/track/6iXGivPFpsqKmrINhIbPvx
CÓ CHẮC YÊU LÀ ĐÂY,2020-07-06,single,CÓ CHẮC YÊU LÀ ĐÂY,Sơn Tùng M-TP,202105,0,https://open.spotify.com/track/2z9iLlNBt1aLZUCFgXby97
Hoa Hải Đường,2020-09-22,single,Hoa Hải Đường,Jack - J97,229589,43,https://open.spotify.com/track/0J2otOvMdg62gVMMjwOvSK
Thích Quá Rùi Nà,2020-03-24,single,Thích Quá Rùi Nà,"tlinh, Trung Trần",178285,0,https://open.spotify.com/track/6jcG3yZ0e2CSI6omkYO1ut
