Year,AG_LND_AGRI_ZS,AG_LND_ARBL_ZS,AG_LND_EL5M_ZS,AG_LND_FRST_K2,AG_LND_FRST_ZS,AG_LND_IRIG_AG_ZS,AG_YLD_CREL_KG,BM_GSR_ROYL_CD,BN_CAB_XOKA_CD,BX_GRT_EXTA_CD_WD,BX_GRT_TECH_CD_WD,BX_GSR_ROYL_CD,BX_KLT_DINV_CD_WD,BX_TRF_PWKR_CD_DT,DT_DOD_DECT_CD,DT_DOD_DECT_GN_ZS,DT_DOD_DSTC_ZS,DT_ODA_ALLD_CD,DT_TDS_DECT_EX_ZS,EG_ELC_ACCS_ZS,EG_ELC_RNEW_ZS,EG_FEC_RNEW_ZS,EG_USE_ELEC_KH_PC,EG_USE_PCAP_KG_OE,ER_H2O_FWTL_K3,ER_PTD_TOTL_ZS,FI_RES_TOTL_CD,FP_CPI_TOTL_ZG,GC_DOD_TOTL_GD_ZS,GC_REV_XGRT_GD_ZS,GC_XPN_TOTL_GD_ZS,NE_EXP_GNFS_ZS,NE_GDI_TOTL_ZS,NE_IMP_GNFS_ZS,NV_AGR_TOTL_ZS,NV_IND_TOTL_ZS,NV_MNF_TECH_ZS_UN,NY_ADJ_SVNG_GN_ZS,NY_GDP_DEFL_KD_ZG,NY_GDP_MKTP_CD,NY_GDP_MKTP_KD_ZG,NY_GDP_PCAP_CD,NY_GDP_PCAP_KD_ZG,NY_GDP_PCAP_PP_CD,NY_GNP_ATLS_CD,NY_GNP_MKTP_PP_CD,NY_GNP_PCAP_CD,NY_GNP_PCAP_PP_CD,NY_GNS_ICTR_ZS,PA_NUS_PPP,PA_NUS_PRVT_PP,SE_ADT_LITR_FE_ZS,SE_ADT_LITR_MA_ZS,SE_PRE_ENRR,SE_PRM_ENRL_TC_ZS,SE_PRM_ENRR,SE_PRM_GINT_FE_ZS,SE_PRM_GINT_MA_ZS,SE_PRM_REPT_FE_ZS,SE_PRM_REPT_MA_ZS,SE_PRM_TCAQ_ZS,SE_SEC_NENR,SE_XPD_PRIM_PC_ZS,SE_XPD_SECO_PC_ZS,SE_XPD_TERT_PC_ZS,SE_XPD_TOTL_GD_ZS,SL_TLF_TOTL_FE_ZS,SL_TLF_TOTL_IN,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_MA_ZS,SP_POP_GROW,SP_POP_TOTL,SP_URB_TOTL,SP_URB_TOTL_IN_ZS
2000,45.2305848555761,19.1528849848067,1.45540481308367,3035360.0,33.1301735880689,,5854.3,16139000000.0,-401928000000.0,,,43476000000.0,349125000000.0,4395000000.0,,,,,,100.0,8.20599694228722,5.4,13671.0520240061,8056.86384994775,473.5,,128399516602.723,3.37685727149929,33.2676418736523,20.576137708966,17.9265301408103,10.6927727297913,23.6783666531655,14.4102128270623,1.1505549143143,22.4515773169165,49.9984527341493,8.58131031432234,2.26519517669861,10250952000000.0,4.07758575804293,36329.9702595751,2.92586254490257,36329.9702595751,10147902611922.7,10385197000000.0,35960.0,36810.0,20.8133351907218,1.0,1.0,,,,,,,,,,,,,,,6.08564949035645,45.0576382459775,147139887.0,4.101,3.903,1.11276899679534,282162411.0,223069137.0,79.057
2001,45.2900702036254,19.151313261849,,3040544.0,33.1867556145437,,5891.1,16207000000.0,-394079000000.0,,,41004000000.0,172496000000.0,4513000000.0,,,,,,100.0,6.78399231432694,4.7,13046.6141478464,7827.88632537183,474.6,,130076677027.985,2.82617111885407,52.4430470096709,19.5089146789777,19.5097642405274,9.70344820873397,22.17672222144,13.2637348067635,1.12925705700728,21.4690060196019,48.5302584575089,7.47576409042703,2.25168991597403,10581929000000.0,0.955538346430316,37133.6203973517,-0.038731925617185,37133.6203973517,10462311294254.3,10749023000000.0,36710.0,37720.0,19.6572760977701,1.0,1.0,,,,,,,,,,,,,,,6.29892301559448,45.0762626365876,148213470.0,4.651,4.796,0.989741382223669,284968955.0,225792302.0,79.234
2002,45.0848730397122,18.8799945862876,,3045728.0,33.2433376410185,5.41901497104565,5546.8,18981000000.0,-456109000000.0,,,44815000000.0,111055000000.0,4570000000.0,,,,,,100.0,8.6463611778167,4.8,13296.1822993023,7843.34484914192,475.6,,157762914914.241,1.58603162650601,53.861925419714,17.3842220243409,20.0840187506611,9.13138565379718,21.7226602573604,13.1549985598093,0.973712301131986,20.6524748771812,49.0905860090204,6.34482200116847,1.55399465961345,10929108000000.0,1.70044732363073,37997.7424300242,0.761236853294676,37997.7424300242,10734743024338.0,11056572000000.0,37320.0,38440.0,18.3808596273365,1.0,1.0,,,,,,,,,,,,,,,6.35995531082153,45.1021437378559,149241895.0,5.609,5.926,0.927797485710314,287625193.0,228400290.0,79.409
2003,45.0848730397122,18.8793697172645,,3050912.0,33.2999196674933,,6023.7,18652000000.0,-522297000000.0,,,47307000000.0,117106000000.0,4672000000.0,,,,,,100.0,8.88937612108964,5.3,13307.4920085002,7794.23553026383,476.6,,184024332193.35,2.27009497336115,56.2497806912263,16.7774293083809,20.6606182543458,9.03565240541354,21.7456280086763,13.5916448812678,1.1210468251509,20.7394622854375,49.0911094109522,5.43277652839829,1.9743147047601,11456450000000.0,2.795605965883,39490.3023903176,1.91588247774337,39490.3023903176,11537542505578.1,11539140000000.0,39770.0,39780.0,17.4287148287646,1.0,1.0,,,,,,,,,,,,,,,6.3286075592041,45.2250133465162,149992325.0,5.658,6.263,0.859481712840946,290107933.0,230876596.0,79.583
2004,45.0848730397122,18.8829756208306,,3056096.0,33.3565016939681,,6851.1,22818000000.0,-635887000000.0,,,56943000000.0,213641000000.0,4734000000.0,,,,,,100.0,8.63018553161945,5.5,13388.5897105591,7881.57864206405,477.6,,190464790633.305,2.67723669309172,56.6617331832934,16.8434344509166,20.4485309067645,9.62874787307988,22.6521453858971,14.8193087841105,1.26548334003973,20.9500317503296,49.1108213315414,5.55843160189586,2.68908760322005,12217196000000.0,3.84777169205226,41724.6411982614,2.89111091233463,41724.6411982614,12744297931435.6,12322009000000.0,43520.0,42080.0,17.7331607023412,1.0,1.0,,,,,,,,,,,,,,,6.2537636756897,45.128880250771,151218126.0,5.396,5.639,0.925483968943482,292805298.0,233532722.0,79.757
2005,45.0848730397122,18.8839674435053,,3061280.0,33.4130837204429,,6450.7,24126000000.0,-749230000000.0,,,64466000000.0,142344000000.0,4795000000.0,,,,,,100.0,8.57846553445898,5.8,13704.5770481407,7846.49968849973,478.6,,188259141662.468,3.3927468454955,56.5383512496973,17.928590234506,20.7451064662954,9.98205641037558,23.3757186121201,15.6565009333013,1.15050675283148,21.2062733847798,48.0777371211313,5.2917636873294,3.13545455674655,13039197000000.0,3.483549937943,44123.3996470026,2.53411070718666,44123.3996470026,13651053758978.5,13170993000000.0,46190.0,44570.0,18.1224580010564,1.0,1.0,,,70.5173263549805,,101.8740234375,106.78762,109.49924,,,,89.34377,,,,6.17098331451416,45.1411315113288,153120588.0,5.097,5.073,0.921713167161207,295516599.0,236200507.0,79.928
2006,45.0848730397122,18.8934000733471,,3066464.0,33.4696657469177,,6400.4,23075000000.0,-816642000000.0,,,70999000000.0,298463000000.0,5068000000.0,,,,,,100.0,9.24463118340514,6.4,13583.2669593387,7697.65253500041,466.64,,221088725058.691,3.22594410070404,55.4668811298083,18.6287129540606,20.5951410085264,10.641389509223,23.5375300484967,16.3338962966673,1.00948747512139,21.5869679549535,48.2450322764525,6.66816514492093,3.08383673352866,13815583000000.0,2.78453963938148,46301.9876485519,1.79819874740998,46301.9876485519,14278273571359.7,14071835000000.0,47850.0,47160.0,19.199754364329,1.0,1.0,,,,,,,,,,,,,,,6.16402912139893,45.120895131862,155267046.0,4.627,4.619,0.964253917136075,298379912.0,238999326.0,80.099
2007,45.0623450106528,17.6588154011386,,3071648.0,33.5262477733925,5.54815994667411,6704.4,24615000000.0,-736554000000.0,,,84497000000.0,346613000000.0,5219000000.0,,,,,,100.0,8.36776393615508,6.3,13657.4528282523,7758.16598577052,454.68,,277548941768.855,2.85267248150138,55.6594728230065,18.6567829386134,20.8646436963685,11.4637892950146,22.5575761277216,16.5482262680953,1.07512389607238,21.4238805413318,49.3327725071964,4.67196358838972,2.70925848658695,14474228000000.0,2.00385829825838,48050.227412195,1.03834382171036,48050.227412195,14617875615086.8,14557597000000.0,48530.0,48330.0,17.427948488859,1.0,1.0,,,,,,,,,,,,,,,6.24331855773926,45.1632907519167,156588966.0,4.499,4.723,0.951055242772428,301231207.0,241795278.0,80.269
2008,45.1337754252019,17.6861677937604,,3076832.0,33.6360635020585,5.4098017947332,6598.3,27764000000.0,-696526000000.0,,,89672000000.0,341092000000.0,5364000000.0,,,,,,100.0,9.00354134718557,6.8,13663.4279681827,7488.08192070473,442.72,,294045673779.627,3.839100296651,63.814672066672,17.7131499265193,22.7876198166239,12.4258439246081,21.0374883665128,17.441943601098,1.05300030562235,20.7935016115926,49.8575410833301,1.65619240536501,1.92670969899538,14769862000000.0,0.113587248258867,48570.0594269601,-0.828888121072325,48570.0594269601,14935235756547.4,14723881000000.0,49110.0,48420.0,15.0588069137003,1.0,1.0,,,,,,,,,,,,,,,6.43608617782593,45.3082478404308,158272885.0,5.414,6.091,0.945865287282592,304093966.0,244607104.0,80.438
2009,45.1337754252019,17.6821909347116,,3082016.0,33.6927352193296,,7226.2,29421000000.0,-379736000000.0,,,85730000000.0,161083000000.0,5740000000.0,,,,,,100.0,10.2918450711157,7.3,12913.7146883015,7056.78365282718,430.76,,404098925258.352,-0.355546266299747,75.8415954284505,15.6666480407916,25.5765165335953,10.9322190593537,17.768753245858,13.8273085764833,0.960285754997542,19.2684745484325,45.7472330597007,0.745057335652569,0.61678071512577,14478067000000.0,-2.57650023426996,47194.9500893872,-3.42683194254013,47194.9500893872,14697125884560.2,14436590000000.0,47910.0,47060.0,13.8930493967185,1.0,1.0,,,,,,,,,,,,,,,6.73869848251343,45.5353906984188,158353162.0,8.046,10.264,0.876651298802912,306771529.0,247276259.0,80.606
