year,AG_LND_AGRI_ZS,AG_LND_ARBL_ZS,AG_LND_EL5M_ZS,AG_LND_FRST_K2,AG_LND_FRST_ZS,AG_LND_IRIG_AG_ZS,AG_YLD_CREL_KG,BM_GSR_ROYL_CD,BN_CAB_XOKA_CD,BX_GRT_EXTA_CD_WD,BX_GRT_TECH_CD_WD,BX_GSR_ROYL_CD,BX_KLT_DINV_CD_WD,BX_TRF_PWKR_CD_DT,DT_DOD_DECT_CD,DT_DOD_DECT_GN_ZS,DT_DOD_DSTC_ZS,DT_ODA_ODAT_CD,DT_ODA_ODAT_GN_ZS,DT_ODA_ODAT_PC_ZS,DT_TDS_DECT_EX_ZS,EG_ELC_ACCS_ZS,EG_ELC_RNEW_ZS,EG_FEC_RNEW_ZS,EG_USE_ELEC_KH_PC,EG_USE_PCAP_KG_OE,EN_POP_EL5M_ZS,ER_H2O_FWTL_K3,ER_PTD_TOTL_ZS,FI_RES_TOTL_CD,FP_CPI_TOTL_ZG,GC_DOD_TOTL_GD_ZS,GC_REV_XGRT_GD_ZS,GC_XPN_TOTL_GD_ZS,NE_EXP_GNFS_ZS,NE_GDI_TOTL_ZS,NE_IMP_GNFS_ZS,NV_AGR_TOTL_ZS,NV_IND_TOTL_ZS,NV_MNF_TECH_ZS_UN,NY_ADJ_SVNG_GN_ZS,NY_GDP_DEFL_KD_ZG,NY_GDP_MKTP_CD,NY_GDP_MKTP_KD_ZG,NY_GDP_PCAP_CD,NY_GDP_PCAP_KD_ZG,NY_GDP_PCAP_PP_CD,NY_GNP_ATLS_CD,NY_GNP_MKTP_PP_CD,NY_GNP_PCAP_CD,NY_GNP_PCAP_PP_CD,NY_GNS_ICTR_ZS,PA_NUS_PPP,PA_NUS_PRVT_PP,SE_ADT_1524_LT_FE_ZS,SE_ADT_1524_LT_MA_ZS,SE_ADT_LITR_FE_ZS,SE_ADT_LITR_MA_ZS,SE_PRE_ENRR,SE_PRM_ENRL_TC_ZS,SE_PRM_ENRR,SE_PRM_GINT_FE_ZS,SE_PRM_GINT_MA_ZS,SE_PRM_REPT_FE_ZS,SE_PRM_REPT_MA_ZS,SE_PRM_TCAQ_ZS,SE_PRM_UNER_FE,SE_PRM_UNER_MA,SE_SEC_ENRR,SE_XPD_PRIM_PC_ZS,SE_XPD_SECO_PC_ZS,SE_XPD_TERT_PC_ZS,SE_XPD_TOTL_GD_ZS,SL_TLF_TOTL_FE_ZS,SL_TLF_TOTL_IN,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_ZS,SP_POP_GROW,SP_POP_TOTL,SP_URB_TOTL,SP_URB_TOTL_IN_ZS
2000,14.4252400548697,12.2743484224966,3.25499866560773,248760.0,68.2469135802469,,6256.6,11006793149.598,130690474028.488,,,10227354811.4584,10688168325.6084,773406710.355769,,,,,,,,100.0,9.11604901056161,3.7,8299.40950624,4083.83169745276,12.5816872607223,90.4,,361639097011.665,-0.676578683595175,98.9338230693531,,17.1095576406981,10.4634942027505,28.417439318872,9.09887738115494,1.5178803390325,32.5135870554896,50.9010235191638,10.2258901963106,-1.33626008998714,4968359075956.59,2.76464755143648,39169.3595701504,2.59289108650813,27287.2701912718,4669256815159.34,3511271813876.38,36810.0,27680.0,31.0308542274003,154.691385,176.789997,,,,,,,,,,,,,,,,,,,3.46011996269226,40.3055529487737,67814564.0,4.505,4.748,0.167275578113187,126843000.0,99760751.0,78.649
2001,14.3017832647462,12.1920438957476,,248850.0,68.2716049382716,32.6107807404566,6107.0,11098561970.8524,86219920754.3291,,,10461595549.6634,4926033619.18462,1249546432.01608,,,,,,,,100.0,8.96543807616427,3.5,8162.01464423629,4008.26803199396,,87.425,,401957624245.241,-0.740055504162738,102.846758013061,,16.2333992095233,10.0767999632844,27.7549548681953,9.48280450872269,1.36750619152798,30.9812266965407,50.1195882677615,8.80028563489023,-1.08487984815201,4374711694090.87,0.386103426145752,34406.1824638092,0.144511690084897,27942.346651133,4753281348036.32,3608076636937.38,37380.0,28380.0,29.7229420266358,149.641888,171.005506,,,,,,,,,,,,,,,,,,,3.40082001686096,40.5009551427709,67616593.0,4.735,5.02,0.240952587521069,127149000.0,101706485.0,79.99
2002,14.1975308641975,12.1234567901235,,248940.0,68.2962962962963,32.5217391304348,6085.5,11020739908.8539,108861295892.018,,,10421751154.8455,11557373873.9419,1126867032.88239,,,,,,,,100.0,8.70870568322637,3.7,8266.09910157323,3991.97756679352,,84.45,,469618129427.641,-0.923494026942321,111.876249693267,,16.1070602104528,10.8554456072287,25.8988591910406,9.5916764589296,1.37649059914159,30.2226000788974,52.0054601063284,7.36150145473882,-1.39097861535799,4182846045873.61,0.0419624993125609,32820.7936433254,-0.190392013612978,28623.5884479367,4506779758379.61,3701173656289.74,35360.0,29040.0,28.5044109298517,143.774205,163.074581,,,,,,,,,,,,,,,,,,,3.40898990631104,40.5268359208666,67054919.0,5.118,5.386,0.232527187105684,127445000.0,104055019.0,81.647
2003,14.1015089163237,12.0631001371742,,249030.0,68.320987654321,32.295719844358,5451.0,11003388851.9008,139380520054.084,,,12270687359.0694,8771535612.31506,811141120.596297,,,,,,,,100.0,10.0221095672445,4.2,8164.9336820182,3953.18450805681,,84.11,,673554461758.647,-0.256541816316025,121.915320879915,,15.7293776764486,11.4658015766594,25.6609651799745,9.86032369115249,1.29902822421038,30.0789207597555,53.0584310902473,7.80257956750673,-1.60770370751224,4519561645253.53,1.53512549928013,35387.0374203599,1.31809196241525,29392.2489916186,4554341041496.15,3814570895476.81,35660.0,29870.0,28.7158768062831,139.579081,155.423971,,,,,,,,,,,,,,,,,,,3.46662998199463,40.6086762802785,66784334.0,4.885,5.251,0.213980948779682,127718000.0,106256267.0,83.196
2004,14.0192043895748,12.0137174211248,,249120.0,68.3456790123457,33.2093933463796,5942.3,13644338678.2394,181993749574.639,,,15701300547.3509,7527948175.22325,773574711.069961,,,,,,,,100.0,9.79582716934759,4.3,8393.25772340542,4078.21054155807,,83.77,,844667163385.489,-0.00857338820310272,127.547629783025,,15.0737560136373,12.7862646247862,25.638207264098,10.8780887981112,1.23095748420526,29.9669305435635,53.387325608891,8.59817885818702,-1.12476639985243,4893116005656.56,2.1861156944216,38298.9801712303,2.15172332918605,30830.6584466434,4982046996469.67,4014995178768.02,39000.0,31430.0,29.3158843764027,134.401332,150.773476,,,,,,,,,,,,,,,,,,,3.42611002922058,40.8702503367928,66508242.0,4.418,4.734,0.0336622582725446,127761000.0,108136910.0,84.64
2005,13.9368998628258,11.9615912208505,,249210.0,68.3703703703704,33.503937007874,6154.0,14653524495.4493,170122750083.948,,,17655293013.2502,5459618342.94079,904981240.667081,,,,,,,,100.0,8.40711373205297,4.0,8539.01058909159,4062.97904878182,,83.43,,846895906145.13,-0.282946068764391,128.207492888471,,15.0518407348066,13.8158957221159,26.052325978807,12.4140588557406,1.11162940578642,29.8717070448265,53.9407582022646,8.5710230589194,-1.19401768056427,4831467035389.8,1.80390087227372,37812.8950199948,1.79433980060388,32169.867493646,5273871945692.42,4201587695067.98,41280.0,32880.0,29.5148769788967,129.551955,142.936319,,,,,,,,,,,,,,,,,,,3.31493997573853,41.0023851121326,66581356.0,4.216,4.446,0.00939209655766336,127773000.0,109856670.0,85.978
2006,13.8639231824417,11.9149519890261,,249300.0,68.3950617283951,33.3240986266672,5852.4,15500422630.0406,174672769353.091,,,20095621605.519,-2396909736.30508,1176988480.08515,,,,,,,,100.0,9.44909822599951,4.4,8542.47813912744,4053.88343735824,,83.09,,895321278049.835,0.249355116079085,128.599667918729,,14.8453333163917,15.6573740466117,26.0775543929763,14.3590020520575,1.08249674589504,29.6655718124813,54.8345712984224,8.34486535379125,-0.862018389228027,4601663122649.92,1.37235012762038,35991.546002862,1.30812718300903,33634.6317066787,5189856423233.96,4415235266797.66,40590.0,34530.0,29.8159321777965,124.448861,137.4116,,,,,,,,,,,,,,,,,,,3.27667999267578,41.1242402109227,66694003.0,3.924,4.192,0.0633735894181335,127854000.0,111383848.0,87.118
2007,13.7909465020576,11.8683127572016,,249390.0,68.4197530864198,33.2020370812445,6062.1,16677754114.4857,211735646402.301,,,23228568012.543,21631204435.6847,1383930644.46261,,,,,,,,100.0,8.20178689867738,4.3,8710.0257029242,4012.65424488871,,82.75,,973296740492.651,0.060039454498669,132.222046474041,,14.0037943063894,17.2891273707229,25.7687401593638,15.5274506811561,1.05336413232639,29.5972958103344,55.402332710418,8.53239151382432,-0.705243547499791,4579750920354.81,1.48396941163492,35779.0245416427,1.36742232603785,35015.9865745127,5032038736803.07,4619429794420.16,39310.0,36090.0,30.3433799383529,120.319482,133.519597,,,,,,,,,,,,,,,,,,,3.27934002876282,41.156088445291,66797225.0,3.766,3.888,0.114908847726211,128001000.0,112827761.0,88.146
2008,13.7152263374486,11.8189300411523,,249480.0,68.4444444444444,32.4851976316211,6262.4,18311541938.9621,142115935666.067,,,25700583119.7173,24624845329.5648,1732378922.50103,,,,,,,,100.0,8.78932661054861,4.4,8270.00773057011,3858.43452050944,,81.986,,1030762755205.19,1.3800788616492,138.574274218025,,15.2644121011595,17.2355433764071,25.869579962101,16.8939331648175,1.05410176653648,28.7829764402439,53.7964862909858,5.86202909559886,-0.911530288285164,5106679115127.3,-1.22428900072828,39876.3039685725,-1.27210994887062,35273.791152156,5043537859644.5,4638617178018.89,39380.0,36220.0,28.6421074070242,116.845814,129.06067,,,,,,,,,,,,,,,,,,,3.27241992950439,41.319241161199,66611354.0,3.854,4.002,0.0484253945978966,128063000.0,114107975.0,89.103
2009,13.6477366255144,11.7805212620027,,249570.0,68.4691358024691,32.5855345153379,5919.5,16834677241.2227,145677709652.338,,,21697984664.1582,12226471578.7439,1594532177.55192,,,,,,,,100.0,9.14571650806042,4.5,8020.27380571196,3678.51113263099,,81.222,,1051654952502.29,-1.35283672951719,156.984485342014,,18.2117006884089,12.41956574798,22.6031764761029,11.9706007858756,1.08231650645818,27.1112122235818,51.7148808039326,1.66823174381576,-0.569564924624345,5289493117993.89,-5.69323635882266,41308.9968370512,-5.68145234031182,33547.2834245767,5023446107004.93,4403592894666.1,39230.0,34390.0,25.3311155031213,115.219075,125.047139,,,,,,,,,,,,,,,,,,,3.5559778213501,41.6105507496109,66339021.0,4.783,5.068,-0.0124946312294096,128047000.0,115228215.0,89.989
