year,AG_LND_AGRI_ZS,AG_LND_ARBL_ZS,AG_LND_EL5M_ZS,AG_LND_FRST_K2,AG_LND_FRST_ZS,AG_LND_IRIG_AG_ZS,AG_YLD_CREL_KG,BM_GSR_ROYL_CD,BN_CAB_XOKA_CD,BX_GRT_EXTA_CD_WD,BX_GRT_TECH_CD_WD,BX_GSR_ROYL_CD,BX_KLT_DINV_CD_WD,BX_TRF_PWKR_CD_DT,DT_DOD_DECT_CD,DT_DOD_DECT_GN_ZS,DT_DOD_DSTC_ZS,DT_ODA_ODAT_CD,DT_ODA_ODAT_GN_ZS,DT_ODA_ODAT_PC_ZS,DT_TDS_DECT_EX_ZS,EG_ELC_ACCS_ZS,EG_ELC_RNEW_ZS,EG_FEC_RNEW_ZS,EG_USE_ELEC_KH_PC,EG_USE_PCAP_KG_OE,EN_POP_EL5M_ZS,ER_H2O_FWTL_K3,ER_PTD_TOTL_ZS,FI_RES_TOTL_CD,FP_CPI_TOTL_ZG,GC_DOD_TOTL_GD_ZS,GC_REV_XGRT_GD_ZS,GC_XPN_TOTL_GD_ZS,NE_EXP_GNFS_ZS,NE_GDI_TOTL_ZS,NE_IMP_GNFS_ZS,NV_AGR_TOTL_ZS,NV_IND_TOTL_ZS,NV_MNF_TECH_ZS_UN,NY_ADJ_SVNG_GN_ZS,NY_GDP_DEFL_KD_ZG,NY_GDP_MKTP_CD,NY_GDP_MKTP_KD_ZG,NY_GDP_PCAP_CD,NY_GDP_PCAP_KD_ZG,NY_GDP_PCAP_PP_CD,NY_GNP_ATLS_CD,NY_GNP_MKTP_PP_CD,NY_GNP_PCAP_CD,NY_GNP_PCAP_PP_CD,NY_GNS_ICTR_ZS,PA_NUS_PPP,PA_NUS_PRVT_PP,SE_ADT_1524_LT_FE_ZS,SE_ADT_1524_LT_MA_ZS,SE_ADT_LITR_FE_ZS,SE_ADT_LITR_MA_ZS,SE_PRE_ENRR,SE_PRM_ENRL_TC_ZS,SE_PRM_ENRR,SE_PRM_GINT_FE_ZS,SE_PRM_GINT_MA_ZS,SE_PRM_REPT_FE_ZS,SE_PRM_REPT_MA_ZS,SE_PRM_TCAQ_ZS,SE_PRM_UNER_FE,SE_PRM_UNER_MA,SE_SEC_ENRR,SE_XPD_PRIM_PC_ZS,SE_XPD_SECO_PC_ZS,SE_XPD_TERT_PC_ZS,SE_XPD_TOTL_GD_ZS,SL_TLF_TOTL_FE_ZS,SL_TLF_TOTL_IN,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_ZS,SP_POP_GROW,SP_POP_TOTL,SP_URB_TOTL,SP_URB_TOTL_IN_ZS
2008,32.7399677741119,20.0852323588839,,130672.68,41.7762218982583,,4897.6,,-10823000000.0,751640000.0,329100000.0,,9579000000.0,6804000000.0,26497616052.6,27.5497882153862,15.8672,1760189941.40625,1.83008388408726,20.6653790089532,1.98401415099651,93.8,35.4814976292986,39.3,812.61355633129,570.996443261552,,81.862,,23890250550.2909,23.1154483474477,,,,70.3366919402715,36.4931217965814,83.9807876874868,20.4131439246507,37.0776963788801,22.4658554678733,7.42201016603123,22.6733161746106,99130304099.1274,5.66177120891362,1163.83195772873,3.74838603993047,4844.06704743752,84934003166.5593,402928818718.689,1000.0,4730.0,27.9004725574194,4973.20698228855,5686.73166257163,,,,,68.2560272216797,19.92674,99.2513885498047,,,,,98.6272430419922,,,,18.02041,,56.4484,4.88674020767212,49.4748673741064,47896567.0,1.764,1.889,1.82745521345807,85175788.0,24810004.0,29.128
2009,32.9068109297165,20.1431120148867,,132276.64,42.2930662932198,,5080.3,,-6608000000.0,613650000.0,335570000.0,,7600000000.0,6018000000.0,32773324076.8,32.3054945885018,14.5938,2160600097.65625,2.12975817159056,24.989586489055,2.34347330849642,96.1,36.1322512774271,37.0,912.780286490341,613.731435956907,,81.862,,16447104123.628,6.71698269988629,,,,62.6088840664865,37.1625554335215,72.0974336552711,19.1684598670425,37.3881863793419,23.5397044741207,8.28925479767787,6.21562315120568,106014659565.214,5.39789754014181,1226.16976051536,3.83237459567542,5060.73212269546,96710386627.329,422707398304.894,1120.0,4890.0,27.5027461713316,5249.9421560632,6090.36250101199,97.0,97.0,91.0,96.0,69.36865234375,19.5222,97.4199676513672,,,,,99.6399536132812,,,,19.2398,,32.24791,4.81650018692017,49.4390523913276,49267257.0,1.577,1.737,1.49648723830416,86460018.0,25732231.0,29.762
2010,34.3450560815081,20.5474729806508,,133880.6,42.7332154461943,,5177.5,,-4276000000.0,651150000.0,379410000.0,,8000000000.0,7569000000.0,45021621601.7,31.5643856988691,15.3981,2769860107.42188,1.94193211288671,31.6717774090871,2.35043484660587,97.4,29.1402800754455,34.6,1028.42426024255,673.624453822915,,81.862,,12466600610.9074,9.20746648778413,,,,54.17584596685,37.0990761715171,59.8018415728624,15.3750906872381,33.0228771360005,23.3546498125897,17.317674936552,42.3032672488557,147201173196.979,6.42324482239482,1683.16182443979,5.21227683604808,5389.2195698842,119484047926.213,456692413955.097,1370.0,5220.0,33.4362082984544,5813.18878719328,6543.80927242237,,,,,71.2736968994141,19.90175,99.4573287963867,,,,,98.3348693847656,,,,19.59413,,32.38883,4.04593992233276,49.1487376515222,50302354.0,1.078,1.114,1.14440259659988,87455152.0,26601234.0,30.417
2011,34.3732843043373,20.5487672527164,,135228.2,43.1647323195567,,5381.2,,236000000.0,667320000.0,390630000.0,,7430000000.0,8326000000.0,54317424684.6,32.3778252566617,19.8488,3332000000.0,1.9861566409238,37.6632022172368,3.94251445658316,99.0,39.460181412868,36.3,1107.8316695399,665.577169245025,,81.862,,13539119001.0033,18.6777322770707,,,,61.1801557211968,32.371143442921,64.0804222196334,16.2591484896283,34.580408780539,19.0840367848217,17.9858865487903,21.4136792818177,172595049183.925,6.41316889681683,1950.92504174913,5.1944977799937,5786.12348870721,144217148114.089,497552154232.623,1630.0,5620.0,35.7658995890213,6915.33544921875,7528.38525390625,,,,,74.550407409668,19.63155,100.246124394885,,,,,99.3025817871094,,,,17.58757,,30.19274,3.7802300453186,49.0530907564137,51197726.0,0.905,0.999,1.15183406119192,88468314.0,27495952.0,31.08
2012,34.4331120376958,20.4216208283752,,136575.8,43.5708247064191,,5462.0,,9429000000.0,605490000.0,419160000.0,,8368000000.0,7912000000.0,62250312592.2,32.8737676831763,19.8399,4113310058.59375,2.17219791587082,45.9534543533013,3.61229378375559,97.9,45.0192189944894,37.9,1210.23985202338,669.497907035472,,81.862,,25573282232.2766,9.09470339557192,,,,63.473924903864,30.5592897696576,59.7501918421214,16.199507640393,35.8602323946766,23.2228500681187,19.2132310311646,9.07766069025038,195590661129.249,5.5045447041189,2185.11767654291,4.27630507146044,6376.79765706172,176784608297.42,552611427110.445,1980.0,6170.0,34.8650174309078,7137.06681858344,7515.38504792271,,,,,78.8856887817383,19.39912,100.619406716821,,,,,99.5883026123047,,,,20.85711,,32.57868,4.40817022323608,49.2537761340152,51916391.0,0.934,1.027,1.1709874078049,89510356.0,28421328.0,31.752
2013,34.6726704451298,20.5196472555451,,137923.4,44.0639521125592,,5425.5,,7745000000.0,640110000.0,379170000.0,,8900000000.0,9429000000.0,66249485456.0,32.1019721650196,18.3688,4085600097.65625,1.97972587574994,45.1083149105307,3.18606302452735,98.5,41.6620020151295,37.4,1279.38642800627,661.649102806502,,81.862,,25893489673.0736,6.59267475899192,,,,66.8004459919118,30.2129034609598,64.0459088748314,15.2156122465127,35.575150437736,29.7727293462114,18.8998309956181,4.03852363752276,213708811665.34,5.55351081026072,2359.51736472828,4.31498880369921,6758.40433634749,198882934014.16,591114739558.674,2200.0,6530.0,33.2013418950008,7308.3464188786,7841.75657805673,,,,,82.4204864501953,18.88349,102.083271917929,108.15997,110.16013,0.71279,1.31449,,,,,21.14295,,34.21589,4.52833986282349,49.28715903733,53209344.0,1.141,1.316,1.1802975549343,90573104.0,29371952.0,32.429
2014,34.6991265943562,20.4533923049676,,139271.0,44.4428488915694,,5577.8,,9359000000.0,535590000.0,357860000.0,,9200000000.0,9794000000.0,74733824699.1,33.2733273586748,18.2035,4215620117.1875,1.87689722483432,45.982106475092,4.23766383028915,99.2,42.9814065130943,36.7,1424.23212288346,,,81.862,,34189368832.6688,4.08455446637617,,,,69.598575950205,30.2890267860995,65.811945504155,14.8803489262722,35.2985684880333,38.508031295158,19.5372673519623,3.69813796808818,233451469642.519,6.42224312118567,2546.38464459903,5.13784099364456,7296.8794808738,218738113959.911,643626834554.391,2390.0,7020.0,32.9915517464887,7379.99614837162,7845.7800900969,98.8099975585938,,,,82.0448684692383,19.21383,105.519124969557,109.30626,111.77736,0.68691,1.27721,100.0,,,,,,,3.54012322425842,49.3392699407741,53885546.0,1.109,1.256,1.21423463554626,91679578.0,30359692.0,33.115
2015,38.7634300520449,22.3458196519913,15.9435701835988,140618.6,44.8711640388917,,5601.2,,-2041000000.0,450660000.0,310030000.0,,11800000000.0,8050696859.49578,81825409829.4,36.0278872208547,14.6539,3167389892.57813,1.39460793501921,34.1228060436034,3.9300306044361,99.3,36.7320576972006,27.8,,,29.6698131367695,81.862,,28250254960.181,0.631200905175754,,,,72.9228518369491,32.1089158178215,71.9913763582875,14.4747261789547,34.2665466382117,36.8496268759116,15.3847569450526,-1.71651170749655,239258328381.741,6.98715430598611,2577.56885340113,5.66896478541561,7671.5819778084,228398373125.457,675964750828.809,2460.0,7280.0,28.072940026902,7290.14880429467,7572.89957805367,,,,,83.973258972168,19.2242,106.820761905382,108.90526,105.54987,0.61033,1.25715,99.4760513305664,,,88.1982830183815,,,,3.41660451889038,49.1226042773037,54628714.0,1.706,1.848,1.23975403093124,92823254.0,31382614.0,33.809
2016,38.8407942894887,22.3302179094857,,143776.8,45.8783548775157,,5441.0,,625000000.0,398200000.0,329520000.0,,12600000000.0,8556092341.35791,90484868503.4,37.2437579283185,14.0576,2906070068.35938,1.19614441551232,30.9156005450438,4.06868318587895,99.2,,26.8,,,,81.862,2.92944743522906,36527291044.3307,2.66824816969082,,,,74.1072862556183,31.724539095105,71.3022217174989,13.8182553730866,34.1152288612372,37.3528790761158,16.2850436323932,1.81953592779914,257096001177.982,6.69000892660424,2735.0604380416,5.35427097241221,8374.50684516118,240485782014.193,743900376751.093,2560.0,7910.0,28.4694474915151,7163.83114802902,7449.49470124506,,,,,87.8091506958008,19.62995,110.223773811456,117.40137,114.18187,0.50674,1.08803,99.7742156982422,,,88.6387881692606,,,,3.469074010849,49.1034867313828,54888312.0,1.699,1.848,1.25988366517733,94000117.0,32439440.0,34.51
2017,38.8279627189274,22.2981273312636,,144153.9,45.9963369846492,,5434.4,,-1649000000.0,437490000.0,265260000.0,,14100000000.0,9405606824.78479,109892941227.6,41.5700407851023,19.9267,2407489990.23438,0.910699595131349,25.2948776701994,6.28582677474731,100.0,,28.3,,,,81.862,2.92950692092655,49075567812.4586,3.52025688811617,,,,81.7625218355655,32.3053009200983,79.2175618233046,12.9298794852362,35.3903640729728,40.0830740439537,17.210928305982,4.36292014766431,281353605986.903,6.94019037359206,2956.10992127753,5.61787865063133,9169.73192052855,255477906845.945,820021816285.019,2680.0,8620.0,28.8568707708549,7211.599609375,7484.6669921875,,,,,96.531982421875,19.64643,109.942229864654,,,0.50676,1.08696,99.7202224731445,,,88.9568529473604,,,,3.41865682601929,48.8243234789677,55533898.0,1.703,1.874,1.24420473643635,95176977.0,33514669.0,35.213
